ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Cluster,Segment
458989,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,3,🏠 Homemakers & Seniors
458994,Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,0,💎 High Value Professionals
458996,Female,Yes,69,No,,0.0,Low,1.0,2,🌱 Young Starters
459000,Male,Yes,59,No,Executive,11.0,High,2.0,2,🌱 Young Starters
459001,Female,No,19,No,Marketing,,Low,4.0,1,👨‍👩‍👧 Family Oriented
459003,Male,Yes,47,Yes,Doctor,0.0,High,5.0,0,💎 High Value Professionals
459005,Male,Yes,61,Yes,Doctor,5.0,Low,3.0,0,💎 High Value Professionals
459008,Female,Yes,47,Yes,Artist,1.0,Average,3.0,0,💎 High Value Professionals
459013,Male,Yes,50,Yes,Artist,2.0,Average,4.0,0,💎 High Value Professionals
459014,Male,No,19,No,Healthcare,0.0,Low,4.0,1,👨‍👩‍👧 Family Oriented
459015,Male,No,22,No,Healthcare,0.0,Low,3.0,1,👨‍👩‍👧 Family Oriented
459016,Female,No,22,No,Healthcare,0.0,Low,6.0,1,👨‍👩‍👧 Family Oriented
459024,Male,Yes,50,Yes,Artist,1.0,Average,5.0,0,💎 High Value Professionals
459026,Male,No,27,No,Healthcare,8.0,Low,3.0,1,👨‍👩‍👧 Family Oriented
459032,Male,No,18,No,Doctor,0.0,Low,3.0,1,👨‍👩‍👧 Family Oriented
459033,Female,Yes,61,Yes,Artist,0.0,Low,1.0,0,💎 High Value Professionals
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,0,💎 High Value Professionals
459039,Male,Yes,45,Yes,Artist,1.0,Average,2.0,0,💎 High Value Professionals
459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,3,🏠 Homemakers & Seniors
459045,Female,Yes,88,Yes,Lawyer,1.0,Average,4.0,2,🌱 Young Starters
459056,Male,Yes,63,No,Executive,,High,3.0,2,🌱 Young Starters
459057,Male,Yes,69,No,Lawyer,,High,,2,🌱 Young Starters
459058,Male,No,42,Yes,Artist,0.0,Low,4.0,3,🏠 Homemakers & Seniors
459059,Male,Yes,79,No,Executive,,High,2.0,2,🌱 Young Starters
459061,Female,Yes,35,Yes,Healthcare,9.0,High,3.0,0,💎 High Value Professionals
459064,Male,Yes,27,No,Executive,5.0,High,4.0,0,💎 High Value Professionals
459065,Male,Yes,52,Yes,Engineer,,Low,2.0,0,💎 High Value Professionals
